"id","country","fact_number","fact"
"1761","Rwanda","1","There is a country where public spaces are remarkably clean, and plastic bags have been banned since 2008."
"1762","Rwanda","2","This nation holds the world record for the highest representation of women in parliament, with over 60% of members being female."
"1763","Rwanda","3","Known as the 'Land of a Thousand Hills,' this country's landscape is predominantly hilly and mountainous."
"1764","Rwanda","4","It is home to over half of the world's remaining mountain gorillas, found in its volcanic mountain range."
"1765","Rwanda","5","Every last Saturday of the month, citizens, including the head of state, participate in a mandatory community service day called 'Umuganda.'"
"1766","Rwanda","6","It ranks among the top five most developed countries in Africa and is second only to Mauritius in ease of doing business."
"1767","Rwanda","7","This country gained independence from a European colonial power in 1962."
"1768","Rwanda","8","Its official languages include a local language spoken by nearly the entire population, along with French and English."
"1769","Rwanda","9","It is a landlocked country bordered by four other nations, including Uganda and Tanzania."
"1770","Rwanda","10","Its capital city is known for its cleanliness and is considered one of the safest cities in Africa."
"1771","São Tomé and Príncipe","1","There is a country that is the second-smallest in Africa by both area and population."
"1772","São Tomé and Príncipe","2","This nation consists of two main islands and several smaller islets, all located in the Gulf of Guinea."
"1773","São Tomé and Príncipe","3","Before European colonization, these islands were uninhabited, with the first settlers arriving in the late 15th century."
"1774","São Tomé and Príncipe","4","It boasts one of the highest literacy rates in sub-Saharan Africa."
"1775","São Tomé and Príncipe","5","Once the world's largest per capita producer of cocoa, this country's economy was heavily reliant on this crop."
"1776","São Tomé and Príncipe","6","Its culture is a unique fusion of Portuguese and African influences, evident in its traditional music, dance, and food."
"1777","São Tomé and Príncipe","7","A haven for ecotourism, it features diverse wildlife and natural beauty, including pristine beaches and lush rainforests."
"1778","São Tomé and Príncipe","8","It achieved independence from a European colonial power in 1975."
"1779","São Tomé and Príncipe","9","While Portuguese is the official language, several creole languages are also spoken by the local population."
"1780","São Tomé and Príncipe","10","Located directly on the equator, it enjoys a tropical climate with distinct wet and dry seasons."
"1781","Senegal","1","There is a country known as the 'Gateway to Africa,' located at the westernmost point of the continent."
"1782","Senegal","2","This nation has an island made entirely of seashells, a unique architectural wonder."
"1783","Senegal","3","It boasts a lake that appears pink due to high salt content and specific algae, attracting tourists and scientists alike."
"1784","Senegal","4","Education is highly valued here, with one of the highest literacy rates in Africa."
"1785","Senegal","5","Its music scene is vibrant, with genres like mbalax gaining international recognition through famous artists."
"1786","Senegal","6","Historically, it was a significant hub for the trans-Atlantic slave trade, with dark chapters in its past."
