"id","country","fact_number","fact"
"101","Albania","1","This country has a traditional stringed instrument called the çifteli, often used in folk music."
"102","Albania","2","This country is home to one of the oldest lakes in Europe, formed over 5 million years ago."
"103","Albania","3","This country has a unique code of honor called ""Besa,"" emphasizing trust and hospitality."
"104","Albania","4","This country was the last in Europe to abolish a state religion in 1967."
"105","Albania","5","This country is known for its bunkers, with over 170,000 built during the 20th century."
"106","Albania","6","This country has a traditional dish called byrek, a flaky pastry filled with spinach or meat."
"107","Albania","7","This country is one of the few in Europe where the majority of the population follows Islam."
"108","Albania","8","This country has a coastline along the Adriatic and Ionian Seas, known for its pristine beaches."
"109","Albania","9","This country’s capital is home to a colorful pyramid-shaped building, originally a museum."
"110","Albania","10","This country is the birthplace of Mother Teresa, a Nobel Peace Prize laureate."
"111","Andorra","1","This country is the only one in the world with a co-principality as its form of government, led by two heads of state."
"112","Andorra","2","This country has no official military, relying instead on voluntary donations for its defense."
"113","Andorra","3","This country is home to Europe’s highest golf course, located at 2,250 meters above sea level."
"114","Andorra","4","This country celebrates its national holiday on September 8, commemorating a historic charter from 1278."
"115","Andorra","5","This country is one of the few where Catalan is the official language."
"116","Andorra","6","This country is known for its skiing and winter sports, with over 290 kilometers of pisted slopes."
"117","Andorra","7","This country is the highest in Europe, with an average elevation of 1,996 meters."
"118","Andorra","8","The capital city of this country is the highest capital city in Europe, located at 1,023 meters above sea level."
"119","Andorra","9","This country uses the euro as its currency, despite not being a member of the European Union."
"120","Andorra","10","This country is a microstate located between France and Spain in the Pyrenees mountains."
"121","Austria","1","This country’s national flag is based on the coat of arms of a historic ruling dynasty."
"122","Austria","2","This country has the oldest zoo in the world, founded in 1752."
"123","Austria","3","This country is home to the world’s oldest restaurant, operating since 803 AD."
"124","Austria","4","This country was the birthplace of the founder of psychoanalysis."
"125","Austria","5","This country is one of the few in Europe that is completely landlocked."
"126","Austria","6","This country is known for its classical music heritage, with famous composers like Mozart and Beethoven."
"127","Austria","7","The capital city of this country is often called the ""City of Music"" due to its opera houses and musical tradition."
"128","Austria","8","This country is famous for a chocolate cake invented in its capital in 1832."
"129","Austria","9","This country is a member of the European Union but not part of NATO."
"130","Austria","10","This country has the highest number of coffee houses per capita in the world."
"131","Belarus","1","This country is one of the few in Europe that still has the death penalty."
"132","Belarus","2","This country is home to the largest population of European bison, with over 1,000 individuals."
"133","Belarus","3","This country has the highest number of tractors per capita in the world."
"134","Belarus","4","This country was the last in Europe to switch to a decimal currency system in 2016."
"135","Belarus","5","This country is known for its potato production, with potatoes being a staple in its cuisine."
"136","Belarus","6","This country has a national park that is a UNESCO World Heritage Site and home to European bison."
"137","Belarus","7","The capital city of this country is one of the greenest in Europe, with over 40% of its area covered by parks."
"138","Belarus","8","This country is the only one in Europe that borders both Russia and Ukraine."
"139","Belarus","9","This country uses the Belarusian ruble as its currency and has a presidential system of government."
"140","Belarus","10","This country declared independence from the Soviet Union on August 25, 1991."
"141","Belgium","1","This country has the highest number of castles per square mile in the world."
"142","Belgium","2","This country was the first in Europe to have a railway, opening in 1835."
"143","Belgium","3","This country has over 650 varieties of beer and 408 breweries."
"144","Belgium","4","This country is home to the headquarters of the European Union and NATO."
"145","Belgium","5","This country has three official languages: Dutch, French, and German."
"146","Belgium","6","This country is famous for its chocolate, with cities like Brussels and Bruges known for their chocolate shops."
"147","Belgium","7","The capital city of this country is often called the ""Capital of Europe"" due to its EU role."
"148","Belgium","8","This country is known for its waffles, with Liège and Brussels waffles being popular types."
"149","Belgium","9","This country has a constitutional monarchy, with King Philippe as the current monarch."
"150","Belgium","10","This country is located in Western Europe and is bordered by France, Germany, the Netherlands, and Luxembourg."
"151","Bosnia and Herzegovina","1","This country has one of the shortest coastlines in the world, measuring only 20 kilometers."
"152","Bosnia and Herzegovina","2","This country is one of the few with two capitals: Sarajevo and Banja Luka."
"153","Bosnia and Herzegovina","3","This country’s flag features a yellow triangle on a blue background with stars representing its ethnic groups."
"154","Bosnia and Herzegovina","4","This country was the first socialist country to host the Olympic Games, in 1984."
"155","Bosnia and Herzegovina","5","This country has a unique coffee culture with a specific ritual for preparation and serving."
"156","Bosnia and Herzegovina","6","This country is known for its natural beauty, with numerous rivers and waterfalls."
"157","Bosnia and Herzegovina","7","The capital city of this country has one of the oldest tram systems in Europe, built in 1885."
"158","Bosnia and Herzegovina","8","This country has a diverse population, with Bosniaks, Serbs, and Croats as the main ethnic groups."
"159","Bosnia and Herzegovina","9","This country uses the convertible mark as its currency, pegged to the euro."
"160","Bosnia and Herzegovina","10","This country declared independence from Yugoslavia on March 1, 1992."
"161","Bulgaria","1","This country is the only one in Europe that has never changed its name since its establishment in 681 AD."
"162","Bulgaria","2","This country is home to the world’s oldest gold treasure, dating back to 4600 BC."
"163","Bulgaria","3","This country has the largest population of brown bears in Europe, with over 1,000 individuals."
"164","Bulgaria","4","This country is the world’s second-largest exporter of rose oil, used in perfumes."
"165","Bulgaria","5","This country has a unique tradition where nodding means ""no"" and shaking means ""yes."""
"166","Bulgaria","6","This country is known for its yogurt, considered a national dish believed to promote longevity."
"167","Bulgaria","7","The capital city of this country is located near a mountain, offering easy access to nature."
"168","Bulgaria","8","This country has a rich history, with its first empire founded in 681 AD."
"169","Bulgaria","9","This country uses the Bulgarian lev as its currency and has a parliamentary republic system."
"170","Bulgaria","10","This country is the birthplace of the Cyrillic alphabet, used in many Slavic languages."
"171","Croatia","1","This country is home to the world’s smallest town, with only 17 inhabitants."
"172","Croatia","2","This country has the highest number of islands in the Mediterranean, with over 1,200 islands and reefs."
"173","Croatia","3","This country is the birthplace of the necktie, worn by soldiers in the 17th century."
"174","Croatia","4","This country has a culinary tradition called ""peka,"" involving cooking meat under a bell-like lid."
"175","Croatia","5","This country is known for its truffles, with one region producing some of the world’s most expensive."
"176","Croatia","6","This country has a well-preserved medieval walled city, a UNESCO World Heritage site."
"177","Croatia","7","The capital city of this country has the world’s shortest funicular railway."
"178","Croatia","8","This country adopted the euro as its currency in 2023, replacing the kuna."
"179","Croatia","9","This country has a parliamentary republic with a president as head of state."
"180","Croatia","10","This country declared independence from Yugoslavia on June 25, 1991."
"181","Cyprus","1","This country is home to the world’s oldest wine label, dating back 5,000 years."
"182","Cyprus","2","This country has the highest number of sunshine hours per year in Europe, over 300 days."
"183","Cyprus","3","This country is the only one where you can see a rare type of wild sheep called the moufflon."
"184","Cyprus","4","This country’s capital is the only one in the world split between two nations."
"185","Cyprus","5","This country is known for its halloumi cheese, a protected designation of origin product."
"186","Cyprus","6","This country has evidence of human settlement dating back 10,000 years."
"187","Cyprus","7","This country’s mountains were formed from molten rock beneath an ancient ocean."
"188","Cyprus","8","This country uses the euro as its currency and has a presidential system of government."
"189","Cyprus","9","This country is an island in the Eastern Mediterranean Sea, south of Turkey."
"190","Cyprus","10","This country is divided into two main parts: a southern republic and a northern region."
"191","Czech Republic","1","This country is the birthplace of the word ""robot,"" coined in a 1920 play."
"192","Czech Republic","2","This country has the highest number of castles per capita, totaling over 2,000."
"193","Czech Republic","3","This country is the world’s largest consumer of beer per capita, averaging 160 liters per person annually."
"194","Czech Republic","4","This country is home to the largest ancient castle in the world, covering over 750,000 square feet."
"195","Czech Republic","5","This country has a historical tradition of defenestration, with notable incidents in its capital."
"196","Czech Republic","6","This country is known for its crystal production, famous for glassware."
"197","Czech Republic","7","The capital city of this country was not bombed during World War II, preserving its historic architecture."
"198","Czech Republic","8","This country uses the Czech koruna as its currency and has a parliamentary republic system."
"199","Czech Republic","9","This country is located in Central Europe, bordered by Germany, Poland, Slovakia, and Austria."
"200","Czech Republic","10","This country is the birthplace of the inventor of the contact lens."
"201","Afghanistan","1","This country has been inhabited for as long as 100,000 years, with evidence from the Paleolithic era."
"202","Afghanistan","2","This country is one of the few where the national flag has changed multiple times, reflecting its turbulent history."
"203","Afghanistan","3","This country has a traditional sport called Buzkashi, played on horseback with a goat carcass."
"204","Afghanistan","4","This country has a unique musical instrument called the rubab, often called the ""lion of instruments."""
"205","Afghanistan","5","The country has a traditional dance called the Attan, performed in a circle with synchronized movements."
