"id","country","fact_number","fact"
1381,"Nicaragua","1","There is a country where you can see freshwater sharks in a lake, a unique natural phenomenon."
1382,"Nicaragua","2","This nation has an active volcano with a lava lake that can be viewed from close range."
1383,"Nicaragua","3","It was once ruled by a family dynasty for over 40 years."
1384,"Nicaragua","4","The capital city was destroyed by an earthquake in 1972."
1385,"Nicaragua","5","The country has a tradition celebrating the Immaculate Conception with street parties leading up to December 8th."
1386,"Nicaragua","6","It has significant biodiversity, including over 10,000 species of plants and animals."
1387,"Nicaragua","7","The country has a large number of volcanoes, with more than 20, some of which are active."
1388,"Nicaragua","8","It has a history of being colonized by both Spain and Britain, leading to a unique cultural mix."
1389,"Nicaragua","9","The country gained independence from Spain in 1821 as part of Central America."
1390,"Nicaragua","10","The currency is named after a Spanish explorer who played a significant role in the country's history."
1391,"Panama","1","There is a country with a canal that connects two oceans."
1392,"Panama","2","This nation has significant biodiversity, including over 900 species of birds."
1393,"Panama","3","It has a large number of islands, including a famous archipelago."
1394,"Panama","4","The capital city is known for its modern skyscrapers alongside colonial architecture."
1395,"Panama","5","It has a tradition of one of Latin America's biggest street parties."
1396,"Panama","6","The country has significant rainforest cover, with over 50% of its territory protected."
1397,"Panama","7","It has two official languages: Spanish and English in some areas."
1398,"Panama","8","The country gained independence from another nation in 1903 with assistance from a powerful ally."
1399,"Panama","9","The currency is named after a famous explorer and is pegged to the U.S. dollar."
1400,"Panama","10","It has significant Chinese influence due to historical immigration."
1401,"Paraguay","1","It has one of the highest percentages of rainforest cover in South America."
1402,"Paraguay","2","The country has a unique dish that is a stew made with corn, beans, meat, and spices."
1403,"Paraguay","3","It has a tradition celebrating racial harmony with people painting their faces."
1404,"Paraguay","4","The capital city was founded in 1537 by Spanish explorers."
1405,"Paraguay","5","It has significant agricultural production, particularly soybeans, sugarcane, and cotton."
1406,"Paraguay","6","The country has a large number of indigenous languages spoken, including one that is also an official language."
1407,"Paraguay","7","It gained independence from Spain in 1811, making it one of South America's earliest independent nations."
1408,"Paraguay","8","The currency is named after an indigenous group."
1409,"Paraguay","9","It has significant hydroelectric power generation from a dam shared with a neighboring country."
1410,"Paraguay","10","The country has a tradition of drinking a popular South American beverage called the yerba mate."
1411,"Peru","1","There is a country where you can find an ancient Incan city, one of the New Seven Wonders of the World."
1412,"Peru","2","This nation has significant biodiversity, including over 300 species of mammals."
1413,"Peru","3","It has significant agricultural production, particularly coffee, cocoa, and quinoa."
1414,"Peru","4","The capital city was founded by a Spanish conquistador in 1535."
1415,"Peru","5","It has significant cultural heritage from ancient civilizations, with sites being major tourist attractions."
1416,"Peru","6","The country has significant mining production, particularly gold, silver, copper, and zinc."
1417,"Peru","7","It has significant gastronomic diversity, with dishes being internationally recognized."
1418,"Peru","8","The country gained independence from Spain in 1821 after a long struggle."
1419,"Peru","9","The currency is named after the sun."
1420,"Peru","10","It has significant surfing culture, with beaches being popular spots."
1421,"Saint Kitts and Nevis","1","There is a country with two islands, one known for its rainforests and beaches."
1422,"Saint Kitts and Nevis","2","This nation has significant volcanic activity, with an active volcano."
1423,"Saint Kitts and Nevis","3","It has significant historical sites, including a UNESCO World Heritage Site."
1424,"Saint Kitts and Nevis","4","The capital city is known for its colonial architecture."
1425,"Saint Kitts and Nevis","5","It has significant cultural festivals, including a carnival."
1426,"Saint Kitts and Nevis","6","The economy is driven by tourism, with attractions like white sand beaches."
