"id","country","fact_number","fact"
"1601","Guinea","1","A prestigious acrobat school here is among Africa’s finest, showcasing a unique tradition of acrobatics."
"1602","Guinea","2","Chimpanzees in this nation are known to use tools to chop fruit, a rare primate behavior."
"1603","Guinea","3","It hosts the largest mosque in sub-Saharan Africa, capable of accommodating 25,000 worshippers."
"1604","Guinea","4","Three major West African rivers—the Niger, Gambia, and Senegal—originate here."
"1605","Guinea","5","Over 98% of women here have undergone a controversial cultural practice, one of the highest rates globally."
"1606","Guinea","6","The main ethnic groups include the Fulani, Malinke, and Susu, contributing to a rich cultural mosaic."
"1607","Guinea","7","It was the first French colony in sub-Saharan Africa to gain independence in 1958."
"1608","Guinea","8","A UNESCO World Heritage Site here is renowned for its biodiversity and strict nature reserve."
"1609","Guinea","9","This nation is a leading producer of bauxite, a key mineral for aluminum production."
"1610","Guinea","10","Its tropical climate features distinct wet and dry seasons, with landscapes of rainforests, savannas, and mountains."
"1611","Guinea-Bissau","1","A Portuguese-based Creole called Kriol serves as a lingua franca, uniting diverse ethnic groups."
"1612","Guinea-Bissau","2","It is one of the world’s top five producers of cashew nuts, despite its small size."
"1613","Guinea-Bissau","3","A UNESCO Biosphere Reserve here is run by one of the last matriarchal tribes."
"1614","Guinea-Bissau","4","The nation gained independence from Portugal in 1974 after an 11-year liberation war."
"1615","Guinea-Bissau","5","Its history includes significant political instability, with multiple military coups since independence."
"1616","Guinea-Bissau","6","The capital city is known for its colonial architecture and vibrant commercial activity."
"1617","Guinea-Bissau","7","It has a tropical climate with distinct wet and dry seasons, supporting diverse ecosystems."
"1618","Guinea-Bissau","8","The country borders Senegal to the north and Guinea to the south and east."
"1619","Guinea-Bissau","9","Approximately 1.9 million people live here, with ethnic groups like Fulani, Balanta, and Mandinka."
"1620","Guinea-Bissau","10","It is one of the smallest countries in Africa, covering just 36,125 square kilometers."
"1621","Ivory Coast","1","It boasts the largest church in the world, surpassing St. Peter’s Basilica in size."
"1622","Ivory Coast","2","The nation was historically significant for its role in the ivory trade, influencing its name."
"1623","Ivory Coast","3","A famous football player, known for his time at Chelsea FC, hails from this country."
"1624","Ivory Coast","4","It has experienced significant political instability, including military coups and civil conflicts."
"1625","Ivory Coast","5","The country has two capital cities: one official and one economic."
"1626","Ivory Coast","6","French is the official language, but over 60 native languages are spoken."
"1627","Ivory Coast","7","The country is a leading producer of cashew nuts."
"1628","Ivory Coast","8","It has a diverse ethnic composition, with major groups including Akan, Gur, Mande, and Kru."
"1629","Ivory Coast","9","The climate is tropical, with distinct wet and dry seasons."
"1630","Ivory Coast","10","It is the world’s largest exporter of cocoa beans, producing millions of tons annually."
"1631","Kenya","1","It is named after its highest mountain, the second-highest in Africa."
"1632","Kenya","2","One of the world’s most spectacular natural events, the Great Wildebeest Migration, occurs here."
"1633","Kenya","3","Over 60 languages are spoken, but Kiswahili and English are the official ones."
"1634","Kenya","4","It is renowned for its wildlife, including the 'Big Five': lion, leopard, rhinoceros, elephant, and buffalo."
"1635","Kenya","5","The landscape features an Indian Ocean coastline, the Great Rift Valley, and a snow-capped mountain."
"1636","Kenya","6","This nation is the birthplace of many world-class long-distance runners."
"1637","Kenya","7","It gained independence from British colonial rule in 1963."
"1638","Kenya","8","Over 40 ethnic groups contribute to its rich cultural heritage, each with unique traditions."
"1639","Kenya","9","It is a leading safari destination with numerous national parks and game reserves."
"1640","Kenya","10","One of its famous wildlife reserves is known for its vast savannas and abundant wildlife."
"1641","Lesotho","1","It is the only country in the world entirely above 1,000 meters in elevation."
"1642","Lesotho","2","Completely surrounded by another country, it is a unique enclave in southern Africa."
"1643","Lesotho","3","The lowest point here is higher than any other country’s lowest point globally."
"1644","Lesotho","4","Nearly 50% of women under 40 are affected by HIV/AIDS, a significant health challenge."
"1645","Lesotho","5","One of the world’s most dangerous mountain passes is found here, known for its dramatic terrain."
"1646","Lesotho","6","It gained independence from British colonial rule in 1966."
"1647","Lesotho","7","Traditional crafts like weaving, pottery, and beadwork are central to its culture."
"1648","Lesotho","8","Its currency is pegged to that of its neighboring country."
