"id","country","fact_number","fact"
"1491","Portugal","1","This nation is home to the world’s oldest bookstore, operating since 1732."
"1492","Portugal","2","It holds the record for the oldest diplomatic alliance, established in 1386."
"1493","Portugal","3","A fortified wine, named after a city in this country, is famous worldwide."
"1494","Portugal","4","Buildings here are often decorated with intricate ceramic tiles called azulejos."
"1495","Portugal","5","It pioneered a global maritime empire, influencing cultures across continents."
"1496","Portugal","6","The capital city has a history spanning over 3,000 years, among Europe’s oldest."
"1497","Portugal","7","A melancholic music genre called fado originated here, known for its soulful melodies."
"1498","Portugal","8","It boasts Europe’s longest suspension bridge, connecting parts of its largest city."
"1499","Portugal","9","This country was among the first to adopt the euro in 1999."
"1500","Portugal","10","It lies on the western coast of the Iberian Peninsula, bordering a larger neighbor."
"1501","Romania","1","This country boasts the world’s heaviest administrative building, weighing over 700,000 tons."
"1502","Romania","2","A cemetery here celebrates death with colorful tombstones and witty inscriptions."
"1503","Romania","3","The discovery of insulin treatment for diabetes originated in this nation."
"1504","Romania","4","It hides Europe’s second-largest underground glacier in a vast cave system."
"1505","Romania","5","Churches here feature exterior walls covered in vibrant, story-telling frescoes."
"1506","Romania","6","Over 6,000 brown bears, Europe’s largest population, roam its forests."
"1507","Romania","7","Traditional music includes the haunting pan flute and melodic cobza."
"1508","Romania","8","It was the first European country to use electric street lighting in 1889."
"1509","Romania","9","Multiple UNESCO sites, including a vast river delta, highlight its heritage."
"1510","Romania","10","It sits in Southeastern Europe, bordering Hungary and Bulgaria."
"1511","San Marino","1","This country claims to be the oldest surviving sovereign state, founded in 301 AD."
"1512","San Marino","2","It is one of the world’s smallest nations, spanning just 61 square kilometers."
"1513","San Marino","3","Three iconic towers on a mountain symbolize its heritage."
"1514","San Marino","4","It has no national debt and is a tax haven, attracting businesses."
"1515","San Marino","5","Despite not being in the EU, it uses the euro as its currency."
"1516","San Marino","6","Its postal service produces stamps prized by collectors worldwide."
"1517","San Marino","7","Completely surrounded by another country, it is a unique enclave."
"1518","San Marino","8","With about 33,000 residents, many citizens live abroad but retain voting rights."
"1519","San Marino","9","Two heads of state, called Captains Regent, govern for six-month terms."
"1520","San Marino","10","Its medieval historic center is a UNESCO World Heritage site."
"1521","Serbia","1","More Roman emperors (18) were born here than in any other country."
"1522","Serbia","2","A village here, built entirely from stone, showcases ancient construction."
"1523","Serbia","3","It leads the world in exporting a specific fruit, supplying nearly 95% globally."
"1524","Serbia","4","Families here honor their patron saint in a unique celebration called Slava."
"1525","Serbia","5","The largest church in the Balkans, dedicated to a national saint, stands here."
"1526","Serbia","6","A river, exactly 365 meters long, is nicknamed after the calendar year."
"1527","Serbia","7","Its clock-making tradition predates Switzerland’s by centuries."
"1528","Serbia","8","The word for a mythical undead creature originates from this country’s language."
"1529","Serbia","9","Its capital is one of Europe’s oldest continuously inhabited cities."
"1530","Serbia","10","Landlocked, it borders seven nations in Southeastern Europe."
"1531","Slovakia","1","This country has the world’s highest castle density, with over 180 fortresses."
"1532","Slovakia","2","It houses the largest Gothic wooden altar, a medieval masterpiece."
"1533","Slovakia","3","A rare geyser erupts every 36 hours, unique outside Iceland."
"1534","Slovakia","4","Each day of the year is linked to specific names, celebrated as namedays."
"1535","Slovakia","5","Over 6,000 caves make it Europe’s cave capital."
"1536","Slovakia","6","Its capital is just 60 km from another European capital, the closest pair."
"1537","Slovakia","7","The parents of pop art icon Andy Warhol hailed from this nation."
"1538","Slovakia","8","Numerous thermal springs fuel its spa tourism industry."
"1539","Slovakia","9","Landlocked, it borders five Central European countries."
"1540","Slovakia","10","It uses the euro and is an EU member."
"1541","Slovenia","1","This country has the densest concentration of castles, over 400 in a small area."
"1542","Slovenia","2","The world’s oldest grapevine, over 400 years old, still produces wine here."
"1543","Slovenia","3","On Easter Monday, men douse women with water in a renewal ritual."
"1544","Slovenia","4","Beekeeping thrives, with one in 20 residents tending hives."
"1545","Slovenia","5","Traditional beehive panels are painted with unique folk art designs."
"1546","Slovenia","6","Its capital is among Europe’s greenest, with vast parks and forests."
"1547","Slovenia","7","The entire nation forms a single statistical region, a global rarity."
"1548","Slovenia","8","A “living fossil” tree species here dates back millions of years."
"1549","Slovenia","9","It has a small Adriatic coastline despite being mostly landlocked."
